Score,Latitude,Longitude,Location,Price,Size,Title,Matched Criteria,Penalties,URL,Description
5,42.310896,23.764988,"t. Долна баня, област София, Bulgaria",34 300 € (581 €/m 2 ) Цената е без ДДС История на цената,59 кв.м,"Продава КЪЩА област София, гр. Долна баня Обява: 1j178285040756748",+отопление(+5),,https://www.imot.bg/obiava-1j178285040756748-prodava-kashta-oblast-sofiya-gr-dolna-banya,"Продава се съвременна къща 59 м² с две спални, подходяща за целогодишно живеене, ваканционен имот или втори дом. Модел Family разполага с просторна всекидневна с кухня, две спални, баня и тоалетна. Подробното разпределение можете да видите в приложен..."
5,42.668663,23.602143,"t. Елин Пелин, област София, Bulgaria",26 900 € (640 €/m 2 ) Цената е без ДДС История на цената,42 кв.м,"Продава КЪЩА област София, гр. Елин Пелин Обява: 1j178204841222071",+отопление(+5),,https://www.imot.bg/obiava-1j178204841222071-prodava-kashta-oblast-sofiya-gr-elin-pelin,"Продава се съвременна къща 42 м² с две спални, подходяща за целогодишно живеене, ваканционен имот или втори дом. Модел XL разполага с просторна всекидневна с кухненски бокс, две спални и баня с тоалетна. Подробното разпределение можете да видите в пр..."
5,42.3076287,23.8588278,"t. Костенец, област София, Bulgaria",26 900 € (640 €/m 2 ) Цената е без ДДС История на цената,42 кв.м,"Продава КЪЩА област София, гр. Костенец Обява: 1j178205354896924",+отопление(+5),,https://www.imot.bg/obiava-1j178205354896924-prodava-kashta-oblast-sofiya-gr-kostenets,"Продава се съвременна къща 42 м² с две спални, подходяща за целогодишно живеене, ваканционен имот или втори дом. Модел XL разполага с просторна всекидневна с кухненски бокс, две спални и баня с тоалетна. Подробното разпределение можете да видите в пр..."
5,42.310446,23.764538,"t. Долна баня, област София, Bulgaria",26 900 € (640 €/m 2 ) Цената е без ДДС История на цената,42 кв.м,"Продава КЪЩА област София, гр. Долна баня Обява: 1j178205384221039",+отопление(+5),,https://www.imot.bg/obiava-1j178205384221039-prodava-kashta-oblast-sofiya-gr-dolna-banya,"Продава се съвременна къща 42 м² с две спални, подходяща за целогодишно живеене, ваканционен имот или втори дом. Модел XL разполага с просторна всекидневна с кухненски бокс, две спални и баня с тоалетна. Подробното разпределение можете да видите в пр..."
5,42.812749,23.215651,"t. Костинброд, област София, Bulgaria",26 900 € (640 €/m 2 ) Цената е без ДДС История на цената,42 кв.м,"Продава КЪЩА област София, гр. Костинброд Обява: 1j178204818875192",+отопление(+5),,https://www.imot.bg/obiava-1j178204818875192-prodava-kashta-oblast-sofiya-gr-kostinbrod,"Продава се съвременна къща 42 м² с две спални, подходяща за целогодишно живеене, ваканционен имот или втори дом. Модел XL разполага с просторна всекидневна с кухненски бокс, две спални и баня с тоалетна. Подробното разпределение можете да видите в пр..."
5,42.338243,23.559268,"t. Самоков, област София, Bulgaria",26 900 € (640 €/m 2 ) Цената е без ДДС История на цената,42 кв.м,"Продава КЪЩА област София, гр. Самоков Обява: 1j178205373878178",+отопление(+5),,https://www.imot.bg/obiava-1j178205373878178-prodava-kashta-oblast-sofiya-gr-samokov,"Продава се съвременна къща 42 м² с две спални, подходяща за целогодишно живеене, ваканционен имот или втори дом. Модел XL разполага с просторна всекидневна с кухненски бокс, две спални и баня с тоалетна. Подробното разпределение можете да видите в пр..."
5,42.274989,23.538223,"v. Бели Искър, област София, Bulgaria",26 900 € (640 €/m 2 ) Цената е без ДДС История на цената,42 кв.м,"Продава КЪЩА област София, с. Бели Искър Обява: 1j178205366892514",+отопление(+5),,https://www.imot.bg/obiava-1j178205366892514-prodava-kashta-oblast-sofiya-s-beli-iskar,"Продава се съвременна къща 42 м² с две спални, подходяща за целогодишно живеене, ваканционен имот или втори дом. Модел XL разполага с просторна всекидневна с кухненски бокс, две спални и баня с тоалетна. Подробното разпределение можете да видите в пр..."
5,42.556488,23.711376,"v. Вакарел, област София, Bulgaria",26 900 € (640 €/m 2 ) Цената е без ДДС История на цената,42 кв.м,"Продава КЪЩА област София, с. Вакарел Обява: 1j178204969792284",+отопление(+5),,https://www.imot.bg/obiava-1j178204969792284-prodava-kashta-oblast-sofiya-s-vakarel,"Продава се съвременна къща 42 м² с две спални, подходяща за целогодишно живеене, ваканционен имот или втори дом. Модел XL разполага с просторна всекидневна с кухненски бокс, две спални и баня с тоалетна. Подробното разпределение можете да видите в пр..."
5,42.274089,23.538223,"v. Бели Искър, област София, Bulgaria",34 300 € (581 €/m 2 ) Цената е без ДДС История на цената,59 кв.м,"Продава КЪЩА област София, с. Бели Искър Обява: 1j178285050357382",+отопление(+5),,https://www.imot.bg/obiava-1j178285050357382-prodava-kashta-oblast-sofiya-s-beli-iskar,"Продава се съвременна къща 59 м² с две спални, подходяща за целогодишно живеене, ваканционен имот или втори дом. Модел Family разполага с просторна всекидневна с кухня, две спални, баня и тоалетна. Подробното разпределение можете да видите в приложен..."
5,42.337343,23.559268,"t. Самоков, област София, Bulgaria",34 300 € (581 €/m 2 ) Цената е без ДДС История на цената,59 кв.м,"Продава КЪЩА област София, гр. Самоков Обява: 1j178285060709383",+отопление(+5),,https://www.imot.bg/obiava-1j178285060709383-prodava-kashta-oblast-sofiya-gr-samokov,"Продава се съвременна къща 59 м² с две спални, подходяща за целогодишно живеене, ваканционен имот или втори дом. Модел Family разполага с просторна всекидневна с кухня, две спални, баня и тоалетна. Подробното разпределение можете да видите в приложен..."
